source_id,target_id,edge_type,notes
b1000:272,wiki:phenomenology-of-religion,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:273,wiki:phenomenology-of-religion,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:274,wiki:phenomenology-of-religion,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:275,wiki:phenomenology-of-religion,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:276,wiki:phenomenology-of-religion,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:278,wiki:phenomenology-of-religion,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:279,wiki:phenomenology-of-religion,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:280,wiki:hinduism-and-dharmic-thought,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:281,wiki:hinduism-and-dharmic-thought,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:282,wiki:hinduism-and-dharmic-thought,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:283,wiki:hinduism-and-dharmic-thought,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:284,wiki:hinduism-and-dharmic-thought,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:285,wiki:phenomenology-of-religion,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:286,wiki:phenomenology-of-religion,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:288,wiki:phenomenology-of-religion,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:289,wiki:phenomenology-of-religion,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:290,wiki:phenomenology-of-religion,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:291,wiki:phenomenology-of-religion,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:292,wiki:phenomenology-of-religion,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:317,wiki:hinduism-and-dharmic-thought,has_topic,Broad domain bridge from sacred-geography-and-temple to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:326,wiki:hinduism-and-dharmic-thought,has_topic,Broad domain bridge from sacred-geography-and-temple to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:346,wiki:sanskrit-and-linguistic-traditions,has_topic,Broad domain bridge from language-and-sanskrit to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:350,wiki:sanskrit-and-linguistic-traditions,has_topic,Broad domain bridge from language-and-sanskrit to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:356,wiki:dharma,has_topic,Broad domain bridge from dharmashastra-and-polity to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:357,wiki:dharma,has_topic,Broad domain bridge from dharmashastra-and-polity to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:359,wiki:dharma,has_topic,Broad domain bridge from dharmashastra-and-polity to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:361,wiki:dharma,has_topic,Broad domain bridge from dharmashastra-and-polity to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:363,wiki:dharma,has_topic,Broad domain bridge from dharmashastra-and-polity to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:369,wiki:dharma,has_topic,Broad domain bridge from dharmashastra-and-polity to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:370,wiki:dharma,has_topic,Broad domain bridge from dharmashastra-and-polity to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:371,wiki:dharma,has_topic,Broad domain bridge from dharmashastra-and-polity to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:374,wiki:epics-and-itihasa,has_topic,Broad domain bridge from puranas-and-itihasa to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:375,wiki:epics-and-itihasa,has_topic,Broad domain bridge from puranas-and-itihasa to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:376,wiki:epics-and-itihasa,has_topic,Broad domain bridge from puranas-and-itihasa to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:378,wiki:epics-and-itihasa,has_topic,Broad domain bridge from puranas-and-itihasa to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:379,wiki:epics-and-itihasa,has_topic,Broad domain bridge from puranas-and-itihasa to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:380,wiki:epics-and-itihasa,has_topic,Broad domain bridge from puranas-and-itihasa to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:381,wiki:epics-and-itihasa,has_topic,Broad domain bridge from puranas-and-itihasa to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:382,wiki:epics-and-itihasa,has_topic,Broad domain bridge from puranas-and-itihasa to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:383,wiki:epics-and-itihasa,has_topic,Broad domain bridge from puranas-and-itihasa to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:384,wiki:epics-and-itihasa,has_topic,Broad domain bridge from puranas-and-itihasa to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:389,wiki:indian-art-and-aesthetics,has_topic,Broad domain bridge from arts-and-aesthetics to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:431,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:432,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:433,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:434,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:435,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:436,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:437,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:438,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:439,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:440,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:441,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:442,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:443,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:444,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:445,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:446,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:447,wiki:shiva,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:448,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:449,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:450,wiki:shiva,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:451,wiki:goddess-tradition,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:452,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:453,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:454,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:455,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:457,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:458,wiki:shiva,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:460,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:461,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:462,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:463,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:464,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:465,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:466,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:467,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:468,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:469,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:470,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:471,wiki:epics-and-itihasa,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:472,wiki:epics-and-itihasa,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:473,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:474,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:475,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:476,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:477,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:478,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:480,wiki:epics-and-itihasa,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:481,wiki:epics-and-itihasa,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:482,wiki:epics-and-itihasa,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:483,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:484,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:485,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:486,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:487,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:488,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:489,wiki:epics-and-itihasa,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:490,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:492,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:493,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:494,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:495,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:498,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:499,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:500,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:501,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:502,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:504,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:505,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:508,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:509,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:510,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:515,wiki:goddess-tradition,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:516,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:518,wiki:goddess-tradition,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:519,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:521,wiki:goddess-tradition,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:523,wiki:goddess-tradition,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:524,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:525,wiki:goddess-tradition,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:526,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:527,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:528,wiki:goddess-tradition,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:530,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:531,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:532,wiki:goddess-tradition,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:533,wiki:goddess-tradition,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:534,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:535,wiki:goddess-tradition,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:536,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:538,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:539,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:540,wiki:shiva,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:542,wiki:shiva,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:543,wiki:shiva,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:544,wiki:shiva,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:545,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:546,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:547,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:548,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:550,wiki:shiva,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:551,wiki:hinduism-sectarian-traditions,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:552,wiki:shiva,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:554,wiki:shiva,has_topic,Broad domain bridge from festivals-and-living-tradition to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:559,wiki:hinduism-and-dharmic-thought,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:560,wiki:hinduism-and-dharmic-thought,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:563,wiki:yoga-and-liberation,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:564,wiki:hinduism-and-dharmic-thought,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:573,wiki:hinduism-and-dharmic-thought,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:575,wiki:hinduism-and-dharmic-thought,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:577,wiki:hinduism-and-dharmic-thought,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:578,wiki:hinduism-and-dharmic-thought,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:593,wiki:civilizational-theory-and-method,has_topic,Broad domain bridge from civilizational-consciousness to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:595,wiki:civilizational-theory-and-method,has_topic,Broad domain bridge from civilizational-consciousness to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:596,wiki:civilizational-theory-and-method,has_topic,Broad domain bridge from civilizational-consciousness to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:597,wiki:civilizational-theory-and-method,has_topic,Broad domain bridge from civilizational-consciousness to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:598,wiki:civilizational-theory-and-method,has_topic,Broad domain bridge from civilizational-consciousness to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:599,wiki:civilizational-theory-and-method,has_topic,Broad domain bridge from civilizational-consciousness to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:600,wiki:civilizational-theory-and-method,has_topic,Broad domain bridge from civilizational-consciousness to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:601,wiki:civilizational-theory-and-method,has_topic,Broad domain bridge from civilizational-consciousness to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:602,wiki:civilizational-theory-and-method,has_topic,Broad domain bridge from civilizational-consciousness to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:603,wiki:civilizational-theory-and-method,has_topic,Broad domain bridge from civilizational-consciousness to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:604,wiki:civilizational-theory-and-method,has_topic,Broad domain bridge from civilizational-consciousness to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:607,wiki:civilizational-theory-and-method,has_topic,Broad domain bridge from civilizational-consciousness to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:608,wiki:civilizational-theory-and-method,has_topic,Broad domain bridge from civilizational-consciousness to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:609,wiki:civilizational-theory-and-method,has_topic,Broad domain bridge from civilizational-consciousness to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:610,wiki:civilizational-theory-and-method,has_topic,Broad domain bridge from civilizational-consciousness to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:611,wiki:civilizational-theory-and-method,has_topic,Broad domain bridge from civilizational-consciousness to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:615,wiki:hinduism-and-dharmic-thought,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:616,wiki:yoga-and-liberation,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:617,wiki:yoga-and-liberation,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:619,wiki:hinduism-and-dharmic-thought,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:622,wiki:hinduism-and-dharmic-thought,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:623,wiki:yoga-and-liberation,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:624,wiki:yoga-and-liberation,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:625,wiki:yoga-and-liberation,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:626,wiki:hinduism-and-dharmic-thought,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:627,wiki:yoga-and-liberation,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
b1000:628,wiki:hinduism-and-dharmic-thought,has_topic,Broad domain bridge from darshanas-and-philosophy to the nearest synthesized wiki topic; use for traversal when no narrower title match exists.
