id,title,id-slug,author,description,reading-path,section,subsection,link,preree,slug,domain,core-of-sanatana-dharma,being-indian,what-will-destroy,hindu-institution-generate,will-save-sanatana-dharma,modernity-and-hindu-values,hindu-unity-and-diversity,new-indian-republic,hindu-renaissance,practice-but-not-proven,hindu-frameworks-of-education,hindu-models-of-temple-management,interchanging-dynamics-of-hindu-family,structure-of-hindu-charity,temples-of-madhya-pradesh,battle-for-dharma-north-east,impact-of-conversion-kekadia,year-in-hajong-village,artist-in-art,hindu-response-to-enlightenment,hindu-school-of-history
117,The Shiva Purana,117-the-shiva-purana,"J. L. Shastri (Motilal, 4 vols)","Motilal Banarsidass's complete four-volume Shiva Purana translation - major Shaiva Purana on Shiva myths, lingas, and twelve Jyotirlingas.",,The Puranas,,https://archive.org/details/LingaPuranaEnglishMotilalBanarsidass,the shiva purana,the-shiva-purana,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
118,The Linga Purana,118-the-linga-purana,J. L. Shastri (2 vols),"Shastri's two-volume Linga Purana translation - Shaiva Purana centered on linga worship, cosmology, and Shiva's manifestations.",,The Puranas,,https://archive.org/search?query=%22The%20Linga%20Purana%22%20J.%20L.%20Shastri,the linga purana,the-linga-purana,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
119,The Skanda Purana,119-the-skanda-purana,G. V. Tagare (multi-vol),"Tagare's monumental multi-volume Skanda Purana translation - largest of the Mahapuranas, vast tirtha-mahatmya and pilgrimage geography.",,The Puranas,,https://archive.org/details/SkandaPuranaPart01EnglishMotilal,the skanda purana,the-skanda-purana,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
120,The Markandeya Purana,120-the-markandeya-purana,F. Eden Pargiter,"Pargiter's classical Markandeya Purana translation - contains the Devi Mahatmya, central Shakta scripture on Durga's slaying of Mahishasura.",,The Puranas,,https://archive.org/details/MarkandeyaPuranaEnglishTranslationPargiter,the markandeya purana,the-markandeya-purana,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
121,The Devi Bhagavata Purana,121-the-devi-bhagavata-purana,Swami Vijnanananda,Vijnanananda's complete Devi Bhagavata Purana translation - major Shakta Purana paralleling and rivaling the Vaishnava Bhagavatam.,,The Puranas,,https://archive.org/details/DeviBhagavataPurana_201605,the devi bhagavata purana,the-devi-bhagavata-purana,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
122,The Devi Mahatmya,122-the-devi-mahatmya,Swami Jagadiswarananda,"Jagadiswarananda's translation of the Devi Mahatmya - 700-verse Shakta core scripture, recited daily during Navaratri worship.",,The Puranas,,https://archive.org/details/devimahatmya00jaga,the devi mahatmya,the-devi-mahatmya,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
123,Encountering the Goddess: A Translation of the Devi-Mahatmya,123-encountering-the-goddess-a-translation-of-the-devi-mahatmya,Thomas Coburn,Coburn's scholarly translation and study of the Devi Mahatmya - academic landmark on the textual roots of goddess worship in India.,,The Puranas,,https://archive.org/details/encounteringgodd0000cobu,encountering the goddess: a translation of the devi-mahatmya,encountering-the-goddess-a-translation-of-the-devi-mahatmya,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
124,The Garuda Purana,124-the-garuda-purana,Ernest Wood & S. V. Subrahmanyam,"Wood and Subrahmanyam's 1911 Garuda Purana translation - Vaishnava text on death rites, afterlife, karma, and pretakalpa funeral procedures.",,The Puranas,,https://sacred-texts.com/hin/gpu/index.htm,the garuda purana,the-garuda-purana,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
125,The Agni Purana,125-the-agni-purana,N. Gangadharan,"Gangadharan's Agni Purana translation - encyclopedic Purana covering ritual, iconography, statecraft, medicine, grammar, and poetics.",,The Puranas,,https://archive.org/search?query=%22The%20Agni%20Purana%22%20N.%20Gangadharan,the agni purana,the-agni-purana,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
126,The Vamana Purana,126-the-vamana-purana,Anand Swarup Gupta,Anand Swarup Gupta's scholarly Vamana Purana translation - Vaishnava Purana centered on Vishnu's dwarf incarnation defeating Mahabali.,,The Puranas,,https://archive.org/search?query=%22The%20Vamana%20Purana%22%20Anand%20Swarup%20Gupta,the vamana purana,the-vamana-purana,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
127,The Brahma Purana,127-the-brahma-purana,G. P. Bhatt (Motilal),"Bhatt's Motilal Banarsidass Brahma Purana translation - covers cosmology, Krishna lila, and Konark/Odisha tirthas in detail.",,The Puranas,,https://archive.org/details/Brahma.Purana.Vol.1.J.L.ShastriG.P.BhattMotilal.Banarsidass1985,the brahma purana,the-brahma-purana,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
128,The Brahmavaivarta Purana,128-the-brahmavaivarta-purana,Rajendra Nath Sen,Sen's complete Brahmavaivarta Purana translation - late Vaishnava Purana with extensive Krishna-Radha lila and Goloka theology.,,The Puranas,,https://archive.org/search?query=%22The%20Brahmavaivarta%20Purana%22%20Rajendra%20Nath%20Sen,the brahmavaivarta purana,the-brahmavaivarta-purana,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
129,The Brahmanda Purana,129-the-brahmanda-purana,G. V. Tagare,Tagare's Brahmanda Purana translation - major Purana containing the Lalita Sahasranama and Lalitopakhyana (Shakta core text).,,The Puranas,,https://archive.org/search?query=%22The%20Brahmanda%20Purana%22%20G.%20V.%20Tagare,the brahmanda purana,the-brahmanda-purana,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
130,The Padma Purana,130-the-padma-purana,N. A. Deshpande,"Deshpande's complete Padma Purana translation - vast Vaishnava Purana with extensive sections on tirthas, vrata, and Krishna lore.",,The Puranas,,https://archive.org/details/PadmaPuranaPart01EnglishMotilalBanarsidassDeshpande1988_201906,the padma purana,the-padma-purana,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
131,The Matsya Purana,131-the-matsya-purana,A Taluqdar of Oudh,"Taluqdar of Oudh's Matsya Purana translation - oldest extant Mahapurana, contains royal genealogies and Vastu Shastra material.",,The Puranas,,https://archive.org/search?query=%22The%20Matsya%20Purana%22%20A%20Taluqdar%20of%20Oudh,the matsya purana,the-matsya-purana,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
132,The Kurma Purana,132-the-kurma-purana,G. V. Tagare,"Tagare's Kurma Purana translation - Shaiva-Shakta Purana with Ishvara Gita, philosophical sections, and tortoise-incarnation cosmology.",,The Puranas,,https://archive.org/search?query=%22The%20Kurma%20Purana%22%20G.%20V.%20Tagare,the kurma purana,the-kurma-purana,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
133,The Varaha Purana,133-the-varaha-purana,Venkitasubramonia Iyer,"Iyer's Varaha Purana translation - Vaishnava Purana centered on Vishnu's boar incarnation, Mathura mahatmya, and Bhumi-devi theology.",,The Puranas,,https://archive.org/search?query=%22The%20Varaha%20Purana%22%20Venkitasubramonia%20Iyer,the varaha purana,the-varaha-purana,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
134,The Narada Purana,134-the-narada-purana,G. V. Tagare,"Tagare's Narada Purana translation - encyclopedic Vaishnava Purana on dharma, vrata, music, and detailed Mahapurana summaries.",,The Puranas,,https://archive.org/search?query=%22The%20Narada%20Purana%22%20G.%20V.%20Tagare,the narada purana,the-narada-purana,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
135,The Bhavishya Purana,135-the-bhavishya-purana,Motilal Banarsidass edition,"Motilal Banarsidass Bhavishya Purana edition - controversial Purana of prophecies, includes interpolated material and modern additions.",,The Puranas,,https://archive.org/search?query=%22The%20Bhavishya%20Purana%22%20Motilal%20Banarsidass%20edition,the bhavishya purana,the-bhavishya-purana,puranas-and-itihasa,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
136,Kalki Purana,136-kalki-purana,B. K. Chaturvedi,"Chaturvedi's Kalki Purana translation - sectarian Vaishnava Purana on Kalki avatara, end of Kali Yuga, and the coming Satya Yuga.",,The Puranas,,https://archive.org/search?query=%22Kalki%20Purana%22%20B.%20K.%20Chaturvedi,kalki purana,kalki-purana,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
137,The Ancient Indian Cosmogony,137-the-ancient-indian-cosmogony,Sukumari Bhattacharji,Sukumari Bhattacharji's classic study of Hindu cosmogonic myths from Vedic to Puranic literature - comparative mythology landmark.,,The Puranas,,https://archive.org/search?query=%22The%20Ancient%20Indian%20Cosmogony%22%20Sukumari%20Bhattacharji,the ancient indian cosmogony,the-ancient-indian-cosmogony,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
138,Puranic Encyclopaedia,138-puranic-encyclopaedia,Vettam Mani,"Vettam Mani's massive single-volume reference encyclopedia of Puranic names, places, stories, and lineages - indispensable lookup.",,The Puranas,,https://archive.org/details/puranicencyclopa00maniuoft,puranic encyclopaedia,puranic-encyclopaedia,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
139,Studies in the Puranic Records on Hindu Rites and Customs,139-studies-in-the-puranic-records-on-hindu-rites-and-customs,R. C. Hazra,Hazra's pioneering scholarly study of Puranic ritual and customary material - foundational work on Puranic textual history.,5-expert-apex,The Puranas,,https://archive.org/details/in.gov.ignca.6748,studies in the puranic records on hindu rites and customs,studies-in-the-puranic-records-on-hindu-rites-and-customs,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
140,Studies in the Upapuranas,140-studies-in-the-upapuranas,R. C. Hazra (2 vols),Hazra's two-volume study of the Upapuranas (minor Puranas) - extensive scholarship mapping the lesser-known Puranic literature.,,The Puranas,,https://archive.org/search?query=%22Studies%20in%20the%20Upapuranas%22%20R.%20C.%20Hazra,studies in the upapuranas,studies-in-the-upapuranas,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
141,The Puranas: A Study in Indian Religious Tradition,141-the-puranas-a-study-in-indian-religious-tradition,V. R. Ramachandra Dikshitar,"Dikshitar's classic study of the Puranas as religious tradition - historical, ritual, and theological survey of the Puranic corpus.",,The Puranas,,https://archive.org/search?query=%22The%20Puranas%22%20V.%20R.%20Ramachandra%20Dikshitar,the puranas: a study in indian religious tradition,the-puranas-a-study-in-indian-religious-tradition,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
142,Classical Hindu Mythology,142-classical-hindu-mythology,Cornelia Dimmitt & J. A. B. van Buitenen,Dimmitt and van Buitenen's accessible single-volume thematic anthology of Puranic mythology - best entry point for English readers.,,The Puranas,,https://archive.org/details/classicalhindumy0000unse,classical hindu mythology,classical-hindu-mythology,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
143,Geography of the Puranas,143-geography-of-the-puranas,MA Ali,An explainer of ancient world geography as the Puranic Indians knew it.,,The Puranas,,https://www.bodharesearch.in/library/books/geography-of-the-puranas,geography of the puranas,geography-of-the-puranas,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
144,Hindu World,144-hindu-world,Benjamin Walker (2 vols),Benjamin Walker's two-volume encyclopedic survey of Hindu civilization - wide-ranging single-author reference covering all aspects.,,The Puranas,,https://archive.org/details/hinduworldencycl0000walk,hindu world,hindu-world,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
145,The Indian Theogony,145-the-indian-theogony,Sukumari Bhattacharji,Bhattacharji's pioneering Indian-authored study of Hindu deities from Vedic to Puranic periods - Indian voice in comparative mythology.,,The Puranas,,https://archive.org/search?query=%22The%20Indian%20Theogony%22%20Sukumari%20Bhattacharji,the indian theogony,the-indian-theogony,puranas-and-itihasa,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
146,The Nyaya Sutras of Gautama,146-the-nyaya-sutras-of-gautama,Mahamahopadhyaya Satisa Chandra Vidyabhusana,"Vidyabhusana's complete English translation of Gautama's Nyaya Sutras - foundational text of Indian logic, epistemology, and debate.",,The Six Darshanas,Nyaya,https://archive.org/search?query=%22The%20Nyaya%20Sutras%20of%20Gautama%22%20Mahamahopadhyaya%20Satisa%20Chandra%20Vidyabhusana,the nyaya sutras of gautama,the-nyaya-sutras-of-gautama,darshanas-and-philosophy,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
147,Nyaya-Bhashya of Vatsyayana,147-nyaya-bhashya-of-vatsyayana,Ganganatha Jha,"Jha's scholarly translation of Vatsyayana's Nyaya Bhashya - earliest extant commentary on the Nyaya Sutras, defines the system.",,The Six Darshanas,Nyaya,https://archive.org/search?query=%22Nyaya-Bhashya%20of%20Vatsyayana%22%20Ganganatha%20Jha,nyaya-bhashya of vatsyayana,nyaya-bhashya-of-vatsyayana,darshanas-and-philosophy,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
148,A History of Indian Logic,148-a-history-of-indian-logic,S. C. Vidyabhusana,Vidyabhusana's foundational 1921 history of Indian logic from Vedic times to Navya Nyaya - still cited Indian authority on the field.,,The Six Darshanas,Nyaya,https://archive.org/details/historyofindianl00vidyuoft,a history of indian logic,a-history-of-indian-logic,darshanas-and-philosophy,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
149,Indian Logic and Atomism,149-indian-logic-and-atomism,Arthur Berriedale Keith,Keith's classical study of Nyaya-Vaisheshika logic and atomism - concise scholarly introduction to the realist Hindu darshana.,,The Six Darshanas,Nyaya,https://archive.org/details/dli.csl.8096,indian logic and atomism,indian-logic-and-atomism,darshanas-and-philosophy,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
150,"Logic, Language and Reality","150-logic,-language-and-reality",Bimal Krishna Matilal,Matilal's landmark study applying analytic philosophy to Indian logical traditions - essential modern Nyaya scholarship in English.,,The Six Darshanas,Nyaya,https://archive.org/details/logiclanguagerea0000mati,"logic, language and reality","logic,-language-and-reality",darshanas-and-philosophy,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
151,Perception: An Essay on Classical Indian Theories of Knowledge,151-perception-an-essay-on-classical-indian-theories-of-knowledge,Bimal Krishna Matilal,"Matilal's classic study of perceptual epistemology in Nyaya, Buddhist, and Mimamsa thought - foundational Indian theories of knowledge.",,The Six Darshanas,Nyaya,https://archive.org/details/perceptionanessayonclassicalindiantheoriesofknowledgebimalkrishnamatilal_202003_79_h/page/79/mode/2up,perception: an essay on classical indian theories of knowledge,perception-an-essay-on-classical-indian-theories-of-knowledge,darshanas-and-philosophy,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
152,The Character of Logic in India,152-the-character-of-logic-in-india,Bimal Krishna Matilal,Matilal's introduction to Indian logical reasoning structures - distinctive logical character of Nyaya-Buddhist debate traditions.,,The Six Darshanas,Nyaya,https://archive.org/details/characteroflogic0000mati,the character of logic in india,the-character-of-logic-in-india,darshanas-and-philosophy,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
153,"Epistemology, Logic, and Grammar in Indian Philosophical Analysis","153-epistemology,-logic,-and-grammar-in-indian-philosophical-analysis",Bimal Krishna Matilal,"Matilal's collected papers on Indian epistemology, logic, and grammatical analysis - definitive late-career synthesis of his work.",,The Six Darshanas,Nyaya,https://dn710709.ca.archive.org/0/items/epistemologylogicandgrammarinindianphilosophicalanalysisbmmatilal_202003_942_P/Epistemology-Logic-And-Grammar-in-Indian-Philosophical-Analysis%20B%20M%20Matilal.pdf,"epistemology, logic, and grammar in indian philosophical analysis","epistemology,-logic,-and-grammar-in-indian-philosophical-analysis",darshanas-and-philosophy,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
154,Gangesha's Theory of Indeterminate Perception,154-gangeshas-theory-of-indeterminate-perception,Stephen Phillips,"Phillips's translation and study of Gangesha's Tattvachintamani - entry into Navya Nyaya, the sophisticated medieval logic of Mithila.",,The Six Darshanas,Nyaya,In Copyright,gangesha's theory of indeterminate perception,gangeshas-theory-of-indeterminate-perception,darshanas-and-philosophy,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
155,Classical Indian Metaphysics,155-classical-indian-metaphysics,Stephen Phillips,"Phillips's broad introduction to classical Indian metaphysics - covers Nyaya, Vaisheshika, and engagement with rival darshanas.",,The Six Darshanas,Nyaya,https://archive.org/details/classicalindianm00phil,classical indian metaphysics,classical-indian-metaphysics,darshanas-and-philosophy,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
156,Epistemology of Perception,156-epistemology-of-perception,J. N. Mohanty,J. N. Mohanty's phenomenological study of Indian theories of perceptual knowledge - bridges Husserlian and Nyaya epistemologies.,,The Six Darshanas,Nyaya,In Copyright,epistemology of perception,epistemology-of-perception,darshanas-and-philosophy,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
157,Indian Philosophy: A Counter-Perspective,157-indian-philosophy-a-counter-perspective,Daya Krishna,Daya Krishna's iconoclastic critique of received views on Indian philosophy - challenges colonial-era frameworks of darshana studies.,,The Six Darshanas,Nyaya,In Copyright,indian philosophy: a counter-perspective,indian-philosophy-a-counter-perspective,darshanas-and-philosophy,TRUE,,TRUE,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
158,The Vaisheshika Sutras of Kanada,158-the-vaisheshika-sutras-of-kanada,Nandalal Sinha,Sinha's classical English translation of Kanada's Vaisheshika Sutras - foundational text of Indian atomism and ontological categories.,,The Six Darshanas,Vaisheshika,https://archive.org/search?query=%22The%20Vaisheshika%20Sutras%20of%20Kanada%22%20Nandalal%20Sinha,the vaisheshika sutras of kanada,the-vaisheshika-sutras-of-kanada,darshanas-and-philosophy,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
159,Padarthadharmasangraha of Prashastapada,159-padarthadharmasangraha-of-prashastapada,Ganganatha Jha,Jha's translation of Prashastapada's Padarthadharmasangraha - definitive early Vaisheshika commentary systematizing the categories.,,The Six Darshanas,Vaisheshika,https://archive.org/search?query=%22Padarthadharmasangraha%20of%20Prashastapada%22%20Ganganatha%20Jha,padarthadharmasangraha of prashastapada,padarthadharmasangraha-of-prashastapada,darshanas-and-philosophy,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
160,Indian Atomism,160-indian-atomism,Anantalal Thakur,Thakur's scholarly study of Indian atomism in Nyaya-Vaisheshika - historical and philosophical analysis of the atomic theory.,,The Six Darshanas,Vaisheshika,In Copyright,indian atomism,indian-atomism,darshanas-and-philosophy,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
161,Theories of the Self,161-theories-of-the-self,Joel Whitney,Joel Whitney's comparative study of Indian theories of self - Vaisheshika alongside other darshanas on atman and substance.,,The Six Darshanas,Vaisheshika,https://archive.org/search?query=%22Theories%20of%20the%20Self%22%20Joel%20Whitney,theories of the self,theories-of-the-self,darshanas-and-philosophy,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
162,The Samkhya Karika of Ishvarakrishna,162-the-samkhya-karika-of-ishvarakrishna,Gerald Larson,Larson's standard English translation of Ishvarakrishna's Samkhya Karika with extensive philosophical commentary and historical notes.,,The Six Darshanas,Samkhya,https://archive.org/search?query=%22The%20Samkhya%20Karika%20of%20Ishvarakrishna%22%20Gerald%20Larson,the samkhya karika of ishvarakrishna,the-samkhya-karika-of-ishvarakrishna,darshanas-and-philosophy,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
163,Classical Samkhya,163-classical-samkhya,Gerald Larson,"Larson's comprehensive academic study of Samkhya origins, development, and doctrines - the standard scholarly work in English.",,The Six Darshanas,Samkhya,In Copyright,classical samkhya,classical-samkhya,darshanas-and-philosophy,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
164,The Samkhya System,164-the-samkhya-system,A. B. Keith,Keith's classical 1918 study of Samkhya philosophy - concise older introduction to the dualist purusha-prakriti darshana.,,The Six Darshanas,Samkhya,https://archive.org/search?query=%22The%20Samkhya%20System%22%20A.%20B.%20Keith,the samkhya system,the-samkhya-system,darshanas-and-philosophy,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
165,Samkhya: A Dualist Tradition in Indian Philosophy,165-samkhya-a-dualist-tradition-in-indian-philosophy,Gerald Larson & Ram Shankar Bhattacharya,"Larson and Bhattacharya's encyclopedia volume on Samkhya - definitive reference on texts, thinkers, and doctrines of the system.",,The Six Darshanas,Samkhya,In Copyright,samkhya: a dualist tradition in indian philosophy,samkhya-a-dualist-tradition-in-indian-philosophy,darshanas-and-philosophy,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
166,Yuktidipika,166-yuktidipika,Albrecht Wezler & Shujun Motegi (eds.),"Wezler and Motegi's edition of the Yuktidipika - most important early Samkhya commentary, indispensable for advanced study.",,The Six Darshanas,Samkhya,In Copyright,yuktidipika,yuktidipika,darshanas-and-philosophy,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
167,Tattva-Samasa,167-tattva-samasa,V. P. Varma,Varma's translation of the Tattva Samasa - short condensed Samkhya text useful as an introduction to the twenty-five tattvas.,,The Six Darshanas,Samkhya,In Copyright,tattva-samasa,tattva-samasa,darshanas-and-philosophy,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
168,The Samkhya Philosophy,168-the-samkhya-philosophy,Nandalal Sinha,Sinha's Sacred Books of the Hindus translation of Samkhya texts - older but useful older edition of Samkhya source material.,,The Six Darshanas,Samkhya,https://archive.org/search?query=%22The%20Samkhya%20Philosophy%22%20Nandalal%20Sinha,the samkhya philosophy,the-samkhya-philosophy,darshanas-and-philosophy,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
169,The Yoga Sutras of Patanjali,169-the-yoga-sutras-of-patanjali,Edwin Bryant,Bryant's massive scholarly Yoga Sutras translation with traditional commentaries synthesized - currently the best English Yoga Sutra edition.,,The Six Darshanas,Yoga,https://archive.org/search?query=%22The%20Yoga%20Sutras%20of%20Patanjali%22%20Edwin%20Bryant,the yoga sutras of patanjali,the-yoga-sutras-of-patanjali,darshanas-and-philosophy,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
170,Yoga Sutras of Patanjali,170-yoga-sutras-of-patanjali,Swami Satchidananda,Satchidananda's accessible Yoga Sutras translation with practical commentary - popular gateway version for yoga students worldwide.,,The Six Darshanas,Yoga,https://archive.org/search?query=%22Yoga%20Sutras%20of%20Patanjali%22%20Swami%20Satchidananda,yoga sutras of patanjali,yoga-sutras-of-patanjali,darshanas-and-philosophy,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
171,The Yoga Sutras of Patanjali,171-the-yoga-sutras-of-patanjali,Swami Vivekananda,Vivekananda's Raja Yoga and Yoga Sutras commentary - historic 1896 introduction that shaped global understanding of yoga philosophy.,,The Six Darshanas,Yoga,https://archive.org/search?query=%22The%20Yoga%20Sutras%20of%20Patanjali%22%20Edwin%20Bryant,the yoga sutras of patanjali,the-yoga-sutras-of-patanjali,darshanas-and-philosophy,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
172,Light on the Yoga Sutras of Patanjali,172-light-on-the-yoga-sutras-of-patanjali,B. K. S. Iyengar,B. K. S. Iyengar's verse-by-verse Yoga Sutras commentary - the great asana master's mature philosophical exposition of Patanjali.,,The Six Darshanas,Yoga,https://archive.org/search?query=%22Light%20on%20the%20Yoga%20Sutras%20of%20Patanjali%22%20B.%20K.%20S.%20Iyengar,light on the yoga sutras of patanjali,light-on-the-yoga-sutras-of-patanjali,darshanas-and-philosophy,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
173,Patanjali's Yoga Sutras with the Commentary of Vyasa,173-patanjalis-yoga-sutras-with-the-commentary-of-vyasa,Bangali Baba,Bangali Baba's compact translation of the Yoga Sutras with Vyasa's classical bhashya - useful for traditional Yoga study.,,The Six Darshanas,Yoga,https://archive.org/search?query=%22Patanjali%27s%20Yoga%20Sutras%20with%20the%20Commentary%20of%20Vyasa%22%20Bangali%20Baba,patanjali's yoga sutras with the commentary of vyasa,patanjalis-yoga-sutras-with-the-commentary-of-vyasa,darshanas-and-philosophy,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
